gender,age,provience,city,area,degree,job,income_month,is_car,num_out_daily,dis_out_avg,order_daily,order_life,order_play,order_no_out,order_public,order_private,order_elec_bike,order_foot,order_others,is_public,agree_guilty,agree_new_national,agree_new_international,agree_vaccine,agree_mask_self-protect,agree_mask_safe_public-with-mask,agree_mask_safe_public-no-mask,agree_mask_public-no-mask-after-vaccine,agree_public_decline,agree_public_no-stop,agree_public_limit-people,agree_public_sign,agree_public_disinfect,agree_public_driver-check,agree_public_mask,agree_public_qr,agree_public_temp,agree_public_track,agree_public_multiple-time,agree_public_custom,agree_public_special,agree_public-eff_decline,agree_public-eff_no-stop,agree_public-eff_limit-people,agree_public-eff_sign,agree_public-eff_disinfect,agree_public-eff_driver-check,agree_public-eff_mask,agree_public-eff_qr,agree_public-eff_temp,agree_public-eff_track,agree_reason_convience,agree_reason_time,agree_reason_crowd,agree_reason_price,agree_reeason_friend,agree_reason_export,agree_reason_others,agree_choose_public_daily,agree_choose_public_play,agree_choose_public_weekday,agree_choose_public_holiday
2,2,广东,广州,番禺,3,1,1,1,5,5,1,2,3,-2,1,2,-2,3,-2,3,2,5,4,4,4,5,2,2,2,2,4,4,4,4,4,4,4,5,4,4,3,3,3,3,5,5,5,5,4,5,4,4,4,4,3,4,4,4,1,1,1,1
1,4,广东,深圳,罗湖,3,2,3,2,3,3,1,2,3,-2,1,-2,3,2,-2,1,5,5,5,5,5,5,1,1,1,3,5,5,5,5,5,3,5,5,4,4,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1
2,2,上海,上海,闵行,3,1,1,1,4,4,3,2,1,-2,1,-2,2,3,-2,2,4,4,4,4,3,5,3,3,1,1,3,5,5,5,5,3,4,4,4,2,3,1,1,3,3,3,3,4,3,4,3,2,2,2,2,2,2,2,1,1,1,2
1,5,广东,深圳,龙岗,4,3,3,1,3,1,1,2,-2,3,3,1,-2,2,-2,3,5,5,4,5,5,5,1,2,2,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,4,2,2
2,5,广东,深圳,龙岗,4,3,3,1,4,5,2,1,3,-2,-2,3,1,2,-2,3,5,5,5,5,5,4,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,2,5,5,5,1,4,4,3
2,5,广东,深圳,龙岗,4,3,3,1,4,5,1,2,3,-2,2,-2,1,3,-2,3,5,5,5,5,5,4,1,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,2,2,2,2,2,2
2,7,广东,深圳,龙岗,4,3,2,1,3,2,1,2,3,-2,1,2,-2,3,-2,2,4,4,4,4,5,5,1,3,1,4,4,5,5,5,5,5,5,5,5,5,5,1,4,4,4,5,5,5,5,5,5,4,4,5,4,4,5,3,2,2,2,4
2,2,湖南,长沙,天心,4,1,1,1,3,3,1,2,3,-2,1,3,4,2,-2,2,4,5,5,5,5,3,2,1,3,4,5,5,5,5,5,3,4,4,5,5,5,3,4,5,5,5,5,5,3,4,4,5,5,5,3,4,4,4,2,2,2,1
2,6,广东,深圳,龙岗,3,3,1,1,3,2,1,2,3,-2,1,2,-2,3,-2,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,1,1
2,2,广东,深圳,福田,4,1,1,1,3,2,1,2,3,-2,4,3,2,1,-2,4,5,5,5,5,5,5,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,2,2,4,5,5,5,5,5,5,5,3,3,4,3,3,3,3,3,2,3,2
